,condition_label,medical_abstract,condition_name
10,4,sodium sensitive sodium retain hypertension difference sodium sensitive sodium retain hypertension theoretically consider use water tank model body fluid volume blood pressure regulation outlet valve attach tank base area correspond reciprocal total peripheral resistance tpr water pour tank rate correspond na+ intake equilibrium achieve certain water level volume output outlet represent mean arterial pressure map cardiac output co urinary na+ excretion height outlet tank size cross sectional area outlet correspond x intercept slope renal function pressure natriuresis curve respectively nonsodium sensitive hypertension shift curve high blood pressure level elevated height outlet change slope size outlet sodium sensitive hypertension depressed slope curve reduce outlet size map water level co water volume increase result sodium retain hypertension tpr reciprocal base area remain unchanged co relatively unchanged result nonsodium retain hypertension tpr elevate map sensitivity sodium intake determine renal function curve body fluid volume determine renal function curve tpr change tpr development hypertension major factor determine body fluid volume change small large sodium sensitivity blood pressure sodium retention consider separately,cardiovascular diseases
11,1,image bone tumor 1990s progress bone tumor management occur result cooperation surgeon oncologist pathologist radiologist radiologist contribute care patient bone tumor major way tumor detection preliminary diagnosis accomplish radiography tumor local extent assess magnetic resonance imaging mri degree computed tomography ct distant spread malignancy document radionuclide scintigraphy skeleton ct lung combined estimate local extent distant spread assure adequate staging definitive management decision preoperative close percutaneous biopsy histologic diagnosis accomplish outpatient basis fluoroscopic ct guidance arteriography employ delivery local chemotherapy combination arteriography mri mr spectroscopy use evaluate tumor response limb salvage surgery mri sequentially assess tumor bed bone scintigraphy ct detect skeletal pulmonary metastasis radiologist role undergo continuous redefinition,neoplasms
12,5,closure bronchopleural fistula bronchoscopic instillation tetracycline persistent bronchopleural fistula bpf infection trauma thoracic surgical procedure difficult manage report patient fulminant staphylococcus aureus pneumonia complicate chronic bpf formation prevent wean mechanical ventilation severe air leak fistula closure obtain instillation tetracycline fistula fiberoptic bronchoscope use balloon catheter blood clot occlusion technique close bpf allow successful weaning mechanical ventilation,general pathological conditions
13,1,utility frozen section evaluation lymph node staging bronchogenic carcinoma mediastinoscopy thoracotomy conduct retrospective analysis utility frozen section diagnosis determine lymph node status mediastinoscopy consecutive patient bronchogenic carcinoma thirty patient lymph node frozen section evaluation positive metastatic carcinoma subsequent nodal section original frozen section study reveal metastatic carcinoma additional patient false negative rate 1.6 sensitivity 94.6 predictive value negative frozen section evaluation result 97.7 false positive frozen section result specificity predictive value positive result frozen section evaluation status individual lymph node patient evaluate lymph node sample mediastinum mediastinoscopy frozen section lymph node positive subsequent nodal section original frozen section examination reveal metastatic carcinoma additional lymph node false negative rate 0.6 sensitivity 92.2 predictive value negative result frozen section evaluation 99.3 false positive frozen section result specificity predictive value positive result frozen section examination conclude frozen section evaluation lymph node mediastinoscopy reliably indicate lymph node status enable physician decide proceed thoracotomy stag carcinoma definitive surgery accomplish single anesthetic procedure combine mediastinoscopy thoracotomy frozen section diagnostic control reduce length cost hospitalization,neoplasms
14,4,antihypertensive drug glucose metabolism comparison diuretic beta blocker felodipine new calcium antagonist subject arterial hypertension diabetes felodipine new antihypertensive calcium antagonist compare metoprolol beta blocker hydrochlorothiazide diuretic respect glucose tolerance randomized double blind cross study consist patient age range year develop diabete antihypertensive treatment treatment period week blood pressure similar irrespective treatment serum glucose level oral glucose tolerance test significantly low patient treat felodipine hydrochlorothiazide serum insulin level appear decrease early stage test patient treat felodipine calcium antagonist antihypertensive substance suggest glucose tolerance impair extent treatment calcium antagonist glucose tolerance completely normalize drug test,cardiovascular diseases
15,2,gallbladder perforation correlation cholescintigraphic sonographic finding niemeier classification retrospectively analyze cholescintigram sonograms consecutive patient gallbladder perforation determine sensitivity preoperative detection gallbladder perforation b correlate finding modify niemeier classification cholescintigraphic criterion perforation free spill pericholecystic hepatic activity scintigraphic gallstone ileus sign detect case sonographic criterion perforation pericholecystic fluid pneumobilia gallstone present patient p 0.05 cholescintigraphic pattern perforation associate niemeier classification type I acute free perforation scan demonstrate free spill type ii subacute pericholecystic abscess scan pericholecystic activity type iii chronic cholecystoenteric fistula scan scintigraphic gallstone ileus cholescintigraphy appear superior sonography modality relatively insensitive detection gallbladder perforation,digestive system diseases
16,1,leave ventricular fibroma echocardiographic diagnosis successful surgical excision case management patient leave ventricular fibroma outline asymptomatic child routine chest radiography suggest cardiac mass m mode dimensional echocardiography valuable adjunct conventional angiography assess child electrocardiographic change present case regress postoperatively stress importance noninvasive aid initial investigation outline operative method reconstruction,neoplasms
17,4,tongue ischemia soft drink report case young girl bring emergency department tongue entrap drink aluminum soft drink dental drill use remove tongue observe hour ischemic area recover spontaneously,cardiovascular diseases
18,5,"vitro vivo effect coronary sinus nonarcing arcing shock use new system low energy dc ablation dc shock coronary sinus abandon risk cardiac rupture tamponade catheter ablation use dc energy electrode straddle ostium coronary sinus use clinically report result cardiac tamponade patient new system energy delivery maximize voltage decrease undesirable effect cause barotrauma system include low energy ablation power supply brief time constant capacitive discharge deliver j 3,000 v low energy ablation catheter contoured distal electrode perform vitro vivo study new system compare arc shock nonarcing shock ablation perform use unipolar distal shock d unipolar shock electrode electrically common p d vitro study large tank fill physiological saline recording voltage current pressure high speed cinematography 32,000 frames sec shock j permit detailed analysis vapor globe anodal shock j arcing minimal vapor globe formation d p d anodal shock j diameter vapor globe mm respectively correspond pressure recording 4.9 atm pressure rise mu sec vivo study involve dog receive nonarcing shock shock j dog receive arcing shock shock j group divide d p d shock catheter ablation perform mean /- sem distance 2.94 /- 0.92 cm coronary sinus dog tolerate procedure cardiac rupture tamponade kill day later dog edema hyperemia hemorrhage area coronary sinus compare effect multiple nonarce shock effect arcing shock disruption rupture coronary sinus epicardial fat space occur dog multiple nonarcing shock dog arc shock p 0.003 occlusion coronary sinus occur dog multiple nonarcing shock dog arc shock p 0.06).(abstract truncate word",general pathological conditions
19,1,chondrosarcoma jaw clinical finding histopathology treatment case chondrosarcoma involve jaw present maxilla mandible salient point clinical presentation elucidate series case widened periodontal ligament space present chondrosarcoma osteosarcomas slowly increase diastema early clinical sign important lesson learn histopathology accept diagnosis benign cartilaginous tumor jaw treatment lesion consist wide surgical excision consideration adjunctive palliative radiotherapy especially maxilla note recurrence develop year later follow lifelong,neoplasms
20,5,ear involvement yellow nail syndrome recognize feature yellow nail syndrome include yellow nail lymphedema pleural effusion report patient additional feature keratosis obturan manifestation syndrome external ear,general pathological conditions
21,1,modify rhombic transposition flap application dermatology modify rhombic transposition flap base circular primary defect describe find versatile design produce good cosmetic result low incidence postoperative complication frequently use transposition flap dermatologic practice,neoplasms
22,5,hepatic injury associate small bowel bacterial overgrowth rat prevent metronidazole tetracycline susceptible rat strain develop hepatobiliary injury follow surgical creation self fill blind loop cause small bowel bacterial overgrowth luminal bacteria cell wall polymer implicate pathogenesis lesion sham operate rat rat self blind loop slightly increase bacterial count develop hepatic injury study antibiotic different spectra activity continuously administer start day day surgery determine intestinal flora responsible development hepatic injury rat small bowel bacterial overgrowth week follow surgery lewis rat self fill blind loop receive antibiotic elevate liver histology score 8.2 /- 1.3 vs. 0.7 /- 0.4 plasma aspartate aminotransferase level /- vs. /- compare sham operate rat p 0.001 oral gentamicin oral intraperitoneal polymyxin b bind endotoxin prevent hepatic injury rat self fill blind loop oral metronidazole tetracycline therapy continuously administer begin day surgery diminish hepatic injury histology score 3.0 /- 1.8 2.9 /- 1.1 aspartate aminotransferase /- /- respectively p 0.001 compare self fill blind loop receive antibiotic metronidazole protect wistar rat require week develop hepatic injury follow experimentally induce small bowel bacterial overgrowth compare rat self fill blind loop receive antibiotic treatment histology score 10.4 /- 1.3 vs. 0.7 /- 1.1 aspartate aminotransferase /- vs. /- p 0.001 rat start metronidazole therapy day self fill blind loop surgery elevated aspartate aminotransferase value decrease normal day final histology score normal rat self fill blind loop negative peritoneal liver spleen blood culture approximately mesenteric lymph node culture positive irrespective antibiotic treatment bacteroide specie implicate cause vitamin b12 disaccharidase deficiency rat self fill blind loop document presence absence organism blind loop use selective culture technique metronidazole tetracycline eliminate bacteroide sp blind loop polymyxin b gentamicin not.(abstract truncate word,general pathological conditions
23,1,clear cell adenocarcinoma vagina cervix report central netherlands registry emphasis early detection prognosis central netherlands registry cnr woman vaginal cervical clear cell adenocarcinoma ccac establish overview present clinical pathologic datum patient register cnr july netherlands department pathology ndp maintain patient registry institute connect central archive computer network histologic slide clinical status review cnr tumor classify vaginal carcinoma cervical carcinoma mean age patient year percent patient patient known maternal history expose diethylstilbestrol des utero majority case initially diagnose cytologic examination initial histologic diagnosis indicate cervical tumor detect case vaginal tumor detect case conclude examination des expose woman consist colposcopic inspection cervix vagina cytologic examination cervix quadrant vagina careful palpation cervix entire vaginal wall important prognostic parameter patient ccac stage grade nuclear atypia result statistical analysis feature effective distinguish nonsurvivor patient survive year,neoplasms
24,5,polyneuropathy ophthalmoplegia leukoencephalopathy intestinal pseudo obstruction polip syndrome describe individual separate family progressive neurological disorder characterize sensorimotor peripheral polyneuropathy cranial neuropathy external ophthalmoplegia deafness syndrome chronic intestinal pseudo obstruction magnetic resonance imaging widespread abnormality cerebral cerebellar white matter patient study autopsy examination reveal widespread endoneurial fibrosis demyelination peripheral nervous system possibly secondary axonal atrophy poorly define change cerebral white matter leukoencephalopathy cranial nerve spinal root severely involved neuron brainstem spinal cord intact fatal gastrointestinal dysmotility severe visceral neuropathy suggest patient manifest hereditary disorder distinctive clinical radiological neuropathological feature propose acronym polip emphasize distinctive tetrad polyneuropathy ophthalmoplegia leukoencephalopathy intestinal pseudo obstruction,general pathological conditions
25,2,insulin resistance noncirrhotic idiopathic portal hypertension explore far pathogenesis glucose intolerance insulin resistance observe patient cirrhosis portal hypertension study year old woman presinusoidal portal hypertension cirrhosis nodular regenerative hyperplasia liver oral glucose ingestion glucose tolerance remain normal occur expense markedly hyperinsulinemic plasma response suggest presence insulin resistance examine question directly perform stepwise euglycemic insulin clamp study combination infusion 3h]glucose 14c]palmitate indirect calorimetry ability insulin promote total body primarily muscle glucose uptake markedly impaired effect suppress hepatic glucose production normal compare result obtain healthy subject insulin fail normally suppress plasma free fatty acid turnover oxidation patient informative case demonstrate portal hypertension hepatic dysfunction cirrhosis associate impair insulin mediate glucose plasma free fatty acid metabolism play predominant role development insulin resistance cirrhotic patient,digestive system diseases
26,3,effect lactulose lactitol protein digestion metabolism conventional germ free animal model relevance result use treatment portosystemic encephalopathy protein digestion metabolism study laboratory rat miniature pig investigate mechanism action lactulose lactitol use treatment patient portosystemic encephalopathy lactulose beta d galactopyranosyl-(1 ---4)-beta d fructofuranose lactitol beta d galactopyranosyl-(1 ---4)-d glucitol increase excretion nitrogenous material faece decrease nitrogen excretion urine similar degree report human patient study germ free rat lactulose effect observe suggest lactulose effect mediate gut flora measurement alpha- epsilon diaminopimelic acid content faece confirm enhancement faecal nitrogen increase contribution bacteria similarity result lactulose lactitol suggest perspective protein metabolism lactitol act similar way lactulose treatment portosystemic encephalopathy,nervous system diseases
27,4,splenic artery aneurysm rupture publish erratum appear j emerg med mar;9(2):205 splenic artery aneurysm rare usually asymptomatic rupture produce severe abdominal pain prove lethal case ruptured splenic artery aneurysm present cocaine injection occur immediately prior onset symptom precipitate event,cardiovascular diseases
28,2,acute gastroenteritis infant month old baby age month admit gastroenteritis complete study gradual refeeding compare abrupt refeeding period rehydration difference incidence recurrence diarrhoea lactose intolerance effect weight duration hospital stay baby recurrence diarrhoea refeeding settle introduction lactose free soya base formula nourished baby month age mild moderately severe gastroenteritis feed immediately strength milk feed rehydration introduction lactose free soya base preparation provide alternative repeat attempt regrade cow milk feed patient lactose intolerance,digestive system diseases
29,1,dilatation duplex kidney unusual case dilatation upper limb duplex ureter usually secondary obstruction associate ureterocele contrast vesicoureteric reflux usual cause dilate low moiety ureter report case unusual complex cause dilatation limb duplex ureter demonstrate,neoplasms
30,3,pregnancy patient treat wilson disease case report pregnancy successful outcome patient treat wilson disease complication exclude conception chelate treatment maintain concern teratogenicity describe course pregnancy patient follow department,nervous system diseases
31,4,dialysis induce alteration leave ventricular filling mechanism clinical significance quantitative dimensional d doppler echocardiography use determine hemodialysis result alteration left ventricular lv diastolic filling contribute dialysis induce hypotension assess hemodynamic variable index diastolic filling use identify patient great risk hemodynamically unstable dialysis sixteen male patient undergo routine maintenance hemodialysis end stage renal disease prospectively study hemodialysis follow hemodialysis significant prolongation p 0.05 lv isovolumetric relaxation time ivrt significant reduction rate extent early rapid ventricular filling p 0.005 contrast late atrial assist filling change significantly multiple stepwise linear regression analysis predialysis hemodynamic parameter noninvasive index lv filling significant independent inverse relationship frequency dialysis relate hypotensive episode duration early lv fill r -0.81 p 0.001 result suggest hemodialysis result discrete alteration early lv filling significant compensatory increase late atrial assist ventricular filling far patient short early lv fill time appear great predilection hemodynamically unstable dialysis,cardiovascular diseases
32,5,ptychotropism cutaneous feature child syndrome hallmark child syndrome unilateral ichthyosiform nevus display pronounced affinity body fold phenomenon term ptychotropism propose expression compose greek word ptyche fold trope turning conclude cutaneous lesion child nevus determine factor lyonization ptychotropism phenomenon ptychotropism constitute additional argument distinguish child nevus inflammatory linear verrucous epidermal nevus ptychotropic,general pathological conditions
33,1,microcystic adnexal carcinoma follow radiotherapy childhood year old man treat radiotherapy tinea capitis year discovery microcystic adnexal carcinoma mac patient refusal surgical intervention able follow natural course tumor year case emphasize typical slow development mac implication association mac radiotherapy discuss,neoplasms
34,2,feasibility digital teleradiology imaging evaluation patient acute right upper quadrant abdominal pain assess utility commercially available digital teleradiology system evaluate patient acute pain right upper quadrant hard copy image examination hepatobiliary scintigram sonogram right upper quadrant digitize transmit standard telephone line view remotely video monitor video hard copy interpretation compare degree concordance scintigraphic study hard copy video image equal demonstrate gallbladder bile duct activity video image fail depict presence bowel activity case gallstone depict equally hard copy video sonographic image video interpreter overestimate presence abnormal hepatic parenchyma overlook case right hydronephrosis video interpretation scintigram sonogram overall error rate comparable rate obtain radiograph interpret remotely digital teleradiology system,digestive system diseases
35,5,long term follow compare subclavian flap angioplasty resection modify oblique end end anastomosis definitive surgical procedure correction aortic coarctation remain controversial retrospectively review total child year age coarctation repair thirty subclavian flap angioplasty technique resection oblique end end anastomosis group far subdivide include infant month age -- infant resection oblique end end anastomosis equal 3ete infant subclavian flap angioplasty great equal 3sfa remain patient old month age divide patient resection oblique end end anastomosis great 3ete patient subclavian flap angioplasty technique great 3sfa overall mortality significantly different technique postoperative hypertension significantly prevalent end end anastomosis subclavian flap angioplasty technique p 0.01 seven patient recurrent coarctation year actuarial freedom recoarctation /- equal 3sfa group compare /- equal 3ete group p 0.02 significant difference child operate later age regard type coarctation repair recommend subclavian flap angioplasty patient month age old month procedure safe risk recoarctation similar,general pathological conditions
36,4,catheterization coronary artery bypass graft descend aorta increase frequency reoperation coronary artery disease lead use variety graft report describe catheter technique selective opacification saphenous vein graft descending thoracic aorta posterior coronary circulation,cardiovascular diseases
37,4,improve survival reduce myocardial necrosis cardiopulmonary bypass reperfusion canine model coronary occlusion cardiac arrest study question cardiopulmonary bypass cpb improve resuscitation rate limit infarct size cardiac arrest acute myocardial infarction design control randomize trial animal undergo leave anterior descend coronary artery occlusion subsequent ventricular fibrillation resuscitation animal support hour resuscitation intensive care setting intervention group resuscitate standard external cpr advanced life support group resuscitate cpb measurement main result group hemodynamic resuscitation variable number resuscitate number hour survivor compare ischemic necrotic myocardial weight determine histochemical stain technique hour survivor infarct size measure ratio necrotic weight ischemic weight significantly dog resuscitate group group p .05 group survivor require significantly epinephrine lidocaine group survivor p .05 high aortic diastolic coronary perfusion pressure cpb p .001 ratio myocardial necrotic weight ischemic weight hour 0.82 /- 0.25 group 0.22 /- 0.25 group p .05 collateral blood flow measure study conclusion pilot study far substantiate improvement resuscitation rate obtainable cpb cpb limit infarct size postresuscitation period require study,cardiovascular diseases
38,4,psychosomatic factor borderline hypertensive subject offspring hypertensive parent psychosomatic factor sympathoneural sympathoadrenal cardiovascular mechanism study patient year age borderline hypertension age match normotensive offspring hypertensive parent control family history hypertension compare projective questionnaire base psychological test circulatory neurohormonal reactivity mental stroop color word conflict test arithmetic test physical stressor orthostasis bicycle ergometry test measure borderline hypertensive subject externalize aggression p 0.05 internalize p 0.05 submissive p 0.05 compare control offspring hypertensive parent similar weak pattern risk group report positive interaction parent genetic risk subject versus control p 0.05 borderline hypertensive patient versus control p 0.08 high state anxiety level p 0.05 subjective symptom beta adrenergic receptor mediate function e.g. tachycardia tremor borderline hypertensive subject offspring hypertensive parent elevated heart rate analysis repeat measure p 0.001 enhance plasma norepinephrine concentration p 0.05 compare control finding subject risk development hypertension suggest psychosomatic factor sympathetic overactivity involve early phase hypertension,cardiovascular diseases
39,1,therapy renal cell carcinoma interleukin-2 lymphokine activate killer cell phase ii experience hybrid bolus continuous infusion interleukin-2 regimen seven patient metastatic unresectable renal cell carcinoma treat interleukin-2 il-2 lymphokine activate killer lak)-cell therapy use hybrid il-2 regimen il-2 administer initially intravenous bolus 10(5 u kg cetus corp emeryville hour day priming phase subsequently continuous infusion x 10(6 u m2 day second treatment period vitro generate lak cell administer despite selection patient good performance status ps ps ps prior nephrectomy patient low tumor burden response rate low complete crs partial response prs overall objective response rate toxicity comparable experience high dose bolus regimen result suggest dose schedule il-2 administration influence likelihood response il-2 renal cell carcinoma,neoplasms
40,5,clinical radiographic hemodynamic correlation chronic congestive heart failure conflict result lead inappropriate care purpose clinical radiographic examination commonly use estimate severity titrate therapy chronic congestive heart failure purpose study establish relationship finding history physical examination chest roentgenogram pulmonary capillary wedge pressure pcwp patient method consecutive patient chronic congestive heart failure refer evaluation heart transplantation study patient undergo history physical examination upright chest roentgenogram cardiac catheterization mean leave ventricular ejection fraction 0.19 /- 0.06 patient divide group accord pcwp group normal pcwp equal mm hg n group mild moderately elevated pcwp mm hg n group markedly elevated pcwp great equal mm hg n result physical radiographic sign congestion common group high pcwp use reliably separate patient different filling pressure physical finding orthopnea edema rale heart sound elevated jugular venous pressure radiographic sign cardiomegaly vascular redistribution interstitial alveolar edema poor predictive value identify patient pcwp value great equal mm hg finding poor negative predictive value exclude significantly elevate pcwp great mm hg radiographic pulmonary congestion absent patient group seven group patient group radiographic congestion new york heart association functional class 3.5 /- 0.5 versus 2.8 /- 0.6 p 0.01 good correlation right atrial pressure pcwp r 0.64 p 0.001 normal right atrial pressure predictive value pressure great mm hg patient pcwp value great mm hg conclusion clinical radiographic hemodynamic evaluation chronic congestive heart failure yield conflict result absence radiographic physical sign congestion ensure normal pcwp value lead inaccurate diagnosis inadequate therapy know therapy aim normalize pcwp superior relieve clinical radiographic sign congestion,general pathological conditions
41,1,prognostic significance type iv collagen laminin immunoreactivity urothelial carcinoma bladder invasion carcinoma involve degradation penetration subepithelial basement membrane bm phenomenon use histopathologic evaluation neoplasm bladder author study clinicopathologic datum tissue specimen case urothelial carcinoma collect prospectively penetration bm evaluate immunohistochemical staining bm component laminin type iv collagen use parameter prognostic indicator bladder cancer assess year survival rate patient tumor interrupted absent bm significantly low patient tumor intact bm rate progression great tumor interrupted absent bm tumor intact bm association find bm status recurrence significant correlation tumor stage bm staining find correlation find ploidy bm stain histologic grade bm stain pattern evaluate histologic grade stage ploidy age bm score prognostic parameter stage bladder carcinomas turn important factor predict survival rate progression free survival bm staining find value early identification microinvasion helpful correct staging urothelial carcinoma,neoplasms
42,4,protein phosphorylation ischemia investigation calcium adenosine triphosphate crucial central nervous system function probable alteration substance central nervous system ischemia involve process cause irreversible neural damage calcium regulate protein kinase responsible phosphorylation protein vital central nervous system function use rabbit spinal cord ischemia model find protein kinase c calcium calmodulin dependent kinase severely affect hour ischemia protein kinase significantly affect time course lose protein kinase c enzyme activity closely correspond irreversible loss neurologic function evidence protein kinase c inhibitor activity generate drug inhibit protein kinase c increase neurologic damage administer early phase ischemia result suggest protein phosphorylation particularly protein kinase c critical maintenance neurologic function,cardiovascular diseases
43,3,bimanual simultaneous motor performance impaired ability shift attention parkinson disease ability share time shift attention bimanual simultaneous motor task study patient parkinson disease pd age- intelligence match control task consist draw triangle dominant hand squeeze rubber bulb nondominant hand motor performance measure use variable amplitude squeeze frequency squeeze velocity draw triangle eliminate variance baseline difference single handed performance bimanual simultaneous performance pd control turn similar frequency squeeze velocity draw triangle amplitude squeeze differ group significantly reduce pd arguably disturbance bimanual performance pd patient disorder time sharing decrease ability shift attention visually cue task non visually cue task result agree current evidence pd patient impaired rely internal control regulation shift attention external cue available,nervous system diseases
44,5,use neuroleptic induce extrapyramidal symptom predict future vulnerability effect objective susceptibility neuroleptic induce extrapyramidal syndrome vary widely age sex subgroup individual vulnerability extrapyramidal syndrome assume explain utility past history predict future occurrence extrapyramidal syndrome study extensively investigation undertake determine patient previous history extrapyramidal syndrome predict future episode extrapyramidal syndrome compare importance predictive factor patient age sex neuroleptic dose anticholinergic dose predictor extrapyramidal syndrome method chart schizophrenic patient multiple neuroleptic treatment episode review extrapyramidal syndrome neuroleptic drug dos anticholinergic drug dos day treatment episode record result previous extrapyramidal syndrome correctly predict extrapyramidal syndrome subsequent treatment patient variation neuroleptic potency neuroleptic dose anticholinergic dose partially explain incorrect prediction conclusion result support hypothesis patient history extrapyramidal syndrome great risk future extrapyramidal syndrome confirm result strongly support individual susceptibility major predictor extrapyramidal syndrome indicate prophylaxis extrapyramidal syndrome consider patient previously suffer extrapyramidal syndrome similarly prescribe neuroleptic therapy,general pathological conditions
45,5,trans retinoic acid acute promyelocytic leukemia ii vitro study structure function relationship trans retinoic acid induce leukemic cell patient acute promyelocytic leukemia m3 differentiate vitro mature granulocyte express cd15 antigen capable respiratory burst function m3 sample fail respond case compare efficacy naturally occur isomer retinoic acid trans ra cis ra isomer induce maximal differentiation 10(-6 mol l. maximal response maintain 10(-7 mol l trans cis ra observe metabolite oxo trans oxo-13 cis effective 10(-6 mol l. order magnitude difference vitro differentiate potency trans ra cis ra blast promyelocytic leukemias predict difference clinical efficacy drug,general pathological conditions
