,condition_label,medical_abstract,condition_name
10,4,sodium sensitive and sodium retaining hypertension the differences between sodium sensitive and sodium retaining hypertension were theoretically considered using a water tank model of body fluid volumeblood pressure regulation if an outlet valve is attached to a tank with a base area corresponding to the reciprocal of total peripheral resistance tpr and water is poured into this tank at a rate corresponding to the amount of na intake then equilibrium should be achieved at a certain water level volume and output from the outlet which represent mean arterial pressure map cardiac output co and urinary na excretion the height of the outlet from the tank bottom and the size crosssectional area of the outlet correspond to the xintercept and slope of the renal function pressurenatriuresis curve respectively in both nonsodium sensitive hypertension due to the shift of the curve toward a higher blood pressure level elevated height of the outlet without change in the slope size of the outlet and sodium sensitive hypertension due to the depressed slope of the curve reduced outlet size not only map water level but also co water volume are increased resulting in sodium retaining hypertension if tpr reciprocal of base area remained unchanged while co is relatively unchanged resulting in nonsodium retaining hypertension if tpr is elevated thus the map and its sensitivity to sodium intake is determined by the renal function curve since body fluid volume is determined by both the renal function curve and tpr however changes in tpr during the development of hypertension is a major factor in determining whether or not the body fluid volume has to change only a small amount or a large amount therefore the sodium sensitivity of blood pressure and sodium retention must be considered separately ,cardiovascular diseases
11,1,imaging bone tumors in the 1990s progress in bone tumor management has occurred as a result of cooperation among surgeons oncologists pathologists and radiologists during the 1990s radiologists will contribute to care of patients with bone tumors in major ways tumor detection and preliminary diagnosis will be accomplished by radiography tumor local extent will be assessed by magnetic resonance imaging mri and to a lesser degree by computed tomography ct distant spread of malignancy will be documented by radionuclide scintigraphy skeleton and by ct lungs the combined estimate of local extent and distant spread will assure adequate staging before definitive management decisions preoperative closed percutaneous biopsy for histologic diagnosis will be accomplished on an outpatient basis under fluoroscopic or ct guidance arteriography will be employed for delivery of local chemotherapy some combination of arteriography mri and mr spectroscopy will be used to evaluate tumor response after limbsalvage surgery mri will sequentially assess the tumor bed bone scintigraphy and ct will detect skeletal and pulmonary metastases the radiologists role will undergo continuous redefinition ,neoplasms
12,5,closure of a bronchopleural fistula with bronchoscopic instillation of tetracycline persistent bronchopleural fistulas bpf due to infection trauma or thoracic surgical procedures are often difficult to manage we report a patient with fulminant staphylococcus aureus pneumonia complicated by chronic bpf formation which prevented weaning from mechanical ventilation due to severe air leak fistula closure was obtained by instillation of tetracycline into the fistula via a fiberoptic bronchoscope using a balloon catheter and blood clot occlusion technique this closed the bpf and allowed successful weaning from mechanical ventilation ,general pathological conditions
13,1,utility of frozensection evaluation of lymph nodes in the staging of bronchogenic carcinoma at mediastinoscopy and thoracotomy we conducted a retrospective analysis of the utility of frozensection diagnoses in determining lymph node status at mediastinoscopy in 122 consecutive patients with bronchogenic carcinoma thirtyfive of 122 patients had one or more lymph nodes with frozensection evaluation positive for metastatic carcinoma subsequent nodal sections not in the original frozensection study revealed metastatic carcinoma in two additional patients the falsenegative rate was 16 sensitivity was 946 predictive value of negative frozensection evaluation results was 977 because there were no falsepositive frozensection results specificity and predictive value for positive results of frozensection evaluation were 100 the statuses of individual lymph nodes from these 122 patients were also evaluated six hundred twenty lymph nodes were sampled from the mediastinum at mediastinoscopy frozensections in 47 lymph nodes were positive subsequent nodal sections not in the original frozensections examination revealed metastatic carcinoma in four additional lymph nodes the falsenegative rate was 06 sensitivity was 922 predictive value of negative results from frozensection evaluation was 993 because there were no falsepositive frozensection results specificity and predictive value for positive results of frozensection examination were 100 we conclude that frozensection evaluation of lymph nodes at mediastinoscopy reliably indicates lymph node status thus enabling the physician to decide whether to proceed to thoracotomy thus staging of the carcinoma and definitive surgery can be accomplished during a single anesthetic procedure combining mediastinoscopy and thoracotomy with frozensection diagnostic control also reduces both the length and cost of hospitalization ,neoplasms
14,4,antihypertensive drugs and glucose metabolism comparison between a diuretic a betablocker and felodipine a new calcium antagonist in subjects with arterial hypertension and diabetes felodipine a new antihypertensive calcium antagonist was compared with metoprolol a betablocker and hydrochlorothiazide a diuretic with respect to glucose tolerance in a randomized doubleblind crossover study consisting of 11 patients of age range 5070 years who had developed diabetes during antihypertensive treatment each treatment period lasted for 10 weeks the blood pressure was similar irrespective of treatment serum glucose levels during the oral glucose tolerance test were significantly lower when the patients were treated with felodipine than when they were taking hydrochlorothiazide serum insulin levels appeared to decrease at an earlier stage of the test when the patients were treated with felodipine the calcium antagonist than with the other two antihypertensive substances which suggests that glucose tolerance is impaired to a lesser extent during treatment with the calcium antagonist glucose tolerance was never completely normalized with any of the drugs tested ,cardiovascular diseases
15,2,gallbladder perforation correlation of cholescintigraphic and sonographic findings with the niemeier classification we retrospectively analyzed the cholescintigrams and sonograms of 36 consecutive patients with gallbladder perforation to a determine the sensitivity of each for the preoperative detection of gallbladder perforation and b correlate the findings with the modified niemeier classification cholescintigraphic criteria of perforation free spill pericholecystic hepatic activity and scintigraphic gallstone ileus sign were detected in 14 of 28 50 cases while sonographic criteria of perforation pericholecystic fluid or pneumobilia with gallstones were present in 18 4 of 22 of patients p less than 005 cholescintigraphic patterns of perforation associated with the niemeier classification were type i acute free perforation 3 of 7 scans demonstrated free spill type ii subacute pericholecystic abscess 9 of 19 scans showed pericholecystic activity and type iii chronic cholecystoenteric fistula 1 of 3 scans showed a scintigraphic gallstone ileus thus although cholescintigraphy appears superior to sonography both modalities are relatively insensitive for the detection of gallbladder perforation ,digestive system diseases
16,1,left ventricular fibroma echocardiographic diagnosis and successful surgical excision in three cases the management of three patients with left ventricular fibromas is outlined all were asymptomatic children routine chest radiography suggested cardiac masses mmode and twodimensional echocardiography were valuable adjuncts to conventional angiography in assessing these children electrocardiographic changes present in all cases were shown to regress postoperatively we stress the importance of these noninvasive aids in the initial investigation and outline our operative methods of reconstruction ,neoplasms
17,4,tongue ischemia from a softdrink can report of case a young girl was brought to the emergency department because her tongue became entrapped while she was drinking from an aluminum softdrink can a dental drill was used to remove the can the tongue was observed for 48 hours during which an ischemic area recovered spontaneously ,cardiovascular diseases
18,5,in vitro and in vivo effects within the coronary sinus of nonarcing and arcing shocks using a new system of lowenergy dc ablation dc shocks within the coronary sinus have been abandoned because of the risk of cardiac rupture and tamponade catheter ablation using dc energy to electrodes straddling the ostium of the coronary sinus when used clinically has been reported to result in cardiac tamponade in as many as 16 of patients a new system of energy delivery maximizes voltage while decreasing the undesirable effects caused by barotrauma this system includes 1 a lowenergy ablation power supply with a brief timeconstant capacitive discharge that delivers up to 40 j and 3000 v and 2 a lowenergy ablation catheter with a contoured distal electrode we performed in vitro and in vivo studies of this new system and compared arcing shocks with nonarcing shocks ablations were performed using unipolar distal shocks d and unipolar shocks to both electrodes made electrically common pd in vitro studies were done in a large tank filled with physiological saline while recording voltage current and pressure highspeed cinematography 32000 framessec of shocks of 1040 j permitted detailed analysis of the vapor globe anodal shocks of less than 20 j showed no arcing or only minimal vapor globe formation for d and pd anodal shocks of 40 j the diameters of the vapor globe were 31 and 22 mm respectively corresponding to pressure recordings of 11 and 49 atm the pressure rise lasted less than 50 mu sec in vivo studies involved 18 dogs that received nonarcing shocks one to six shocks of 15 j and 18 dogs that received arcing shocks one to three shocks of 40 j each group was divided between d and pd shocks catheter ablation was performed at a mean  sem distance of 294  092 cm within the coronary sinus all dogs tolerated the procedure without cardiac rupture or tamponade when killed 24 days later the dogs had edema and hyperemia or hemorrhage in the area of the coronary sinus we compared the effects of multiple three to six nonarcing shocks with the effects of one to three arcing shocks disruption or rupture of the coronary sinus within the epicardial fat space occurred in two of 12 dogs 17 with multiple nonarcing shocks but in 13 of 18 dogs 72 with arcing shocks p less than 0003 occlusion of the coronary sinus occurred in two of 12 dogs 17 with multiple nonarcing shocks and in nine of 18 dogs 50 with arcing shocks p less than 006abstract truncated at 400 words ,general pathological conditions
19,1,chondrosarcoma of the jaws clinical findings histopathology and treatment three cases of chondrosarcoma involving the jaws are presented one in the maxilla and two in the mandible the salient points of clinical presentation elucidated by this series of cases are that a widened periodontal ligament space is present in chondrosarcomas as well as in osteosarcomas and that a slowly increasing diastema may be the earliest clinical sign the most important lesson to be learned from the histopathology is that one should not accept a diagnosis of a benign cartilaginous tumor of the jaws treatment of these lesions should consist of wide surgical excision and consideration of adjunctive or palliative radiotherapy especially in the maxilla it should also be noted that recurrences may develop 10 to 20 years later and followup should be lifelong ,neoplasms
20,5,ear involvement in the yellow nail syndrome recognized features of the yellow nail syndrome include yellow nails lymphedema and pleural effusions we report a patient with the additional feature of keratosis obturans which may be a manifestation of this syndrome in the external ear ,general pathological conditions
21,1,a modified rhombic transposition flap and its application in dermatology a modified rhombic transposition flap based around a circular primary defect is described we have found it to be a versatile design that produces good cosmetic results with a low incidence of postoperative complications it has become the most frequently used transposition flap in our dermatologic practice ,neoplasms
22,5,hepatic injury associated with small bowel bacterial overgrowth in rats is prevented by metronidazole and tetracycline susceptible rat strains develop hepatobiliary injury following the surgical creation of selffilling blind loops that cause small bowel bacterial overgrowth luminal bacteria or their cell wall polymers were implicated in the pathogenesis of the lesions because shamoperated rats and rats with selfemptying blind loops having only slightly increased bacterial counts did not develop hepatic injury in this study antibiotics with different spectra of activities were continuously administered starting 1 day or 22 days after surgery to determine which intestinal flora may be responsible for the development of hepatic injury in rats with small bowel bacterial overgrowth four weeks following surgery lewis rats with selffilling blind loops receiving no antibiotics had elevated liver histology scores 82  13 vs 07  04 and plasma aspartate aminotransferase levels 269  171 vs 84  24 compared with shamoperated rats p less than 0001 oral gentamicin as well as oral and intraperitoneal polymyxin b which binds endotoxin did not prevent hepatic injury in rats with selffilling blind loops however oral metronidazole and tetracycline therapy continuously administered beginning 1 day after surgery diminished hepatic injury histology score 30  18 29  11 aspartate aminotransferase 87  25 98  34 respectively p less than 0001 compared with selffilling blind loops receiving no antibiotics metronidazole also protected wistar rats that require 12 weeks to develop hepatic injury following experimentally induced small bowel bacterial overgrowth compared with rats with selffilling blind loops that received no antibiotic treatment histology score 104  13 vs 07  11 and aspartate aminotransferase 273  239 vs 76  20 p less than 0001 when rats started metronidazole therapy 22 days after selffilling blind loop surgery elevated aspartate aminotransferase values decreased to normal during the next 77 days and final histology scores were normal all rats with selffilling blind loops had negative peritoneal liver spleen and blood cultures but approximately 75 of mesenteric lymph node cultures were positive irrespective of antibiotic treatment because bacteroides species have been implicated in causing vitamin b12 and disaccharidase deficiencies in rats with selffilling blind loops we documented the presence or absence of these organisms from blind loops using selective culture techniques metronidazole and tetracycline eliminated bacteroides sp from blind loops but polymyxin b and gentamicin did notabstract truncated at 400 words ,general pathological conditions
23,1,clear cell adenocarcinoma of the vagina and cervix a report of the central netherlands registry with emphasis on early detection and prognosis the central netherlands registry cnr of women with vaginal or cervical clear cell adenocarcinoma ccac was established in 1985 an overview is presented of clinical and pathologic data of 55 patients who were registered at the cnr until july 1 1988 all netherlands departments of pathology ndp maintain a patient registry and 95 of the institutes are connected with a central archive via a computer network the histologic slides and clinical status were reviewed at the cnr twentyfive tumors were classified as vaginal carcinoma and 30 as cervical carcinoma the mean age of the patients was 22 years fiftyfive percent of patients 63 of patients with known maternal history were exposed to diethylstilbestrol des in utero the majority of cases was initially diagnosed after 1980 cytologic examination before the initial histologic diagnosis indicated that cervical tumors were detected in 80 of cases but vaginal tumors were detected only in 33 of cases it was concluded that an examination of desexposed women should consist of colposcopic inspection of the cervix and vagina cytologic examination of the cervix and four quadrants of the vagina and careful palpation of the cervix and the entire vaginal wall the most important prognostic parameter for patients with ccac was stage and grade of nuclear atypia the results of a statistical analysis showed that these features were the most effective to distinguish between nonsurvivors and patients surviving more than 5 years ,neoplasms
24,5,polyneuropathy ophthalmoplegia leukoencephalopathy and intestinal pseudoobstruction polip syndrome we describe 5 individuals from three separate families with a progressive neurological disorder characterized by sensorimotor peripheral polyneuropathy cranial neuropathies external ophthalmoplegia deafness and the syndrome of chronic intestinal pseudoobstruction magnetic resonance imaging showed widespread abnormality of the cerebral and cerebellar white matter in the 2 patients studied autopsy examination in 3 revealed widespread endoneurial fibrosis and demyelination in the peripheral nervous system possibly secondary to axonal atrophy and poorly defined changes in cerebral white matter leukoencephalopathy the cranial nerves and spinal roots were less severely involved and the neurons in the brainstem and spinal cord were intact the fatal gastrointestinal dysmotility was due to a severe visceral neuropathy we suggest that these patients manifested a hereditary disorder with distinctive clinical radiological and neuropathological features and propose the acronym polip to emphasize the distinctive tetrad of polyneuropathy ophthalmoplegia leukoencephalopathy and intestinal pseudoobstruction ,general pathological conditions
25,2,insulin resistance in noncirrhotic idiopathic portal hypertension to explore further the pathogenesis of glucose intolerance and insulin resistance observed in patients with cirrhosis and portal hypertension we studied a 35yearold woman with presinusoidal portal hypertension without cirrhosis due to nodular regenerative hyperplasia of the liver after oral glucose ingestion glucose tolerance remained normal however this occurred at the expense of a markedly hyperinsulinemic plasma response suggesting the presence of insulin resistance to examine this question more directly we performed a stepwise euglycemic insulin clamp study in combination with an infusion of glucose and palmitate and indirect calorimetry the ability of insulin to promote total body primarily muscle glucose uptake was markedly impaired whereas its effect to suppress hepatic glucose production was normal compared with results obtained in nine healthy subjects moreover insulin failed to normally suppress plasma free fatty acid turnover and oxidation in this patient this informative case demonstrates that portal hypertension alone without hepatic dysfunction from cirrhosis is associated with impaired insulinmediated glucose and plasma free fatty acid metabolism and may also play a predominant role in the development of insulin resistance in many cirrhotic patients ,digestive system diseases
26,3,effects of lactulose and lactitol on protein digestion and metabolism in conventional and germ free animal models relevance of the results to their use in the treatment of portosystemic encephalopathy protein digestion and metabolism have been studied in laboratory rats and miniature pigs to investigate the mechanisms of action of lactulose and lactitol when used in the treatment of patients with portosystemic encephalopathy lactulose betadgalactopyranosyl14betadfructofuranose and lactitol betadgalactopyranosyl14dglucitol increased the excretion of nitrogenous material in the faeces and decreased nitrogen excretion in the urine in a similar degree to that reported for human patients in studies with germ free rats given lactulose no such effect was observed suggesting that for lactulose at least these effects are mediated by the gut flora measurement of the alpha epsilondiaminopimelic acid content of the faeces confirmed that the enhancement of faecal nitrogen was due to an increased contribution from bacteria the similarity in the results for lactulose and lactitol suggests that from the perspective of protein metabolism lactitol acts in a similar way to lactulose in the treatment of portosystemic encephalopathy ,nervous system diseases
27,4,splenic artery aneurysm rupture  splenic artery aneurysms are rare and usually asymptomatic however rupture can produce severe abdominal pain and prove lethal two cases of ruptured splenic artery aneurysm are presented in one cocaine injection occurred immediately prior to the onset of symptoms and may have precipitated the event ,cardiovascular diseases
28,2,acute gastroenteritis in infants under 6 months old sixty two babies under the age of 6 months who were admitted with gastroenteritis completed a study of gradual refeeding compared with abrupt refeeding after a period of rehydration there was no difference in the incidence of recurrence of diarrhoea due to lactose intolerance effect on weight or duration of hospital stay twenty six babies 42 had recurrence of diarrhoea after refeeding all of whom settled with the introduction of a lactose free soya based formula well nourished babies under 6 months of age with mild to moderately severe gastroenteritis can be fed immediately with full strength milk feeds after rehydration the introduction of a lactose free soya based preparation may provide an alternative to repeated attempts at regrading with cows milk feeds in those patients with lactose intolerance ,digestive system diseases
29,1,dilatation in the duplex kidney 3 unusual cases dilatation in the upper limb of a duplex ureter is usually secondary to obstruction and may be associated with a ureterocele by contrast vesicoureteric reflux is the usual cause of a dilated lower moiety ureter we report 3 cases in which unusual or complex causes of dilatation of 1 limb of a duplex ureter were demonstrated ,neoplasms
30,3,pregnancy in a patient with treated wilsons disease a case report pregnancy should have a successful outcome in a patient with treated wilsons disease if complications are excluded before conception chelating treatment must be maintained although there is some concern about its teratogenicity we describe the course of pregnancy in a patient followed up in our department ,nervous system diseases
31,4,dialysisinduced alterations in left ventricular filling mechanisms and clinical significance quantitative twodimensional 2d and doppler echocardiography were used to determine whether hemodialysis results in alterations in left ventricular lv diastolic filling that might contribute to dialysisinduced hypotension as well as to assess whether any hemodynamic variables or indices of diastolic filling might be used to identify which patients were at the greatest risk of becoming hemodynamically unstable during dialysis sixteen male patients undergoing routine maintenance hemodialysis for endstage renal disease were prospectively studied before and after hemodialysis following hemodialysis there was a significant prolongation p less than 005 in lv isovolumetric relaxation time ivrt as well as a significant reduction in the rate and extent of early rapid ventricular filling p less than 0005 in contrast late atrialassisted filling did not change significantly a multiple stepwise linear regression analysis of predialysis hemodynamic parameters and noninvasive indices of lv filling showed that there was a significant independent inverse relationship between the frequency of dialysisrelated hypotensive episodes and the duration of early lv filling r  081 p less than 0001 these results suggest that hemodialysis results in discrete alterations in early lv filling with no significant compensatory increase in late atrialassisted ventricular filling further patients with the shortest early lv filling times appeared to have the greatest predilection for becoming hemodynamically unstable during dialysis ,cardiovascular diseases
32,5,ptychotropism as a cutaneous feature of the child syndrome the hallmark of the child syndrome is a unilateral ichthyosiform nevus that displays a pronounced affinity for the body folds for this phenomenon the term ptychotropism is proposed the expression is composed from the greek words ptyche fold and trope a turning it is concluded that the cutaneous lesions of the child nevus are determined by two factors lyonization and ptychotropism the phenomenon of ptychotropism constitutes an additional argument to distinguish the child nevus from the inflammatory linear verrucous epidermal nevus because the latter is not ptychotropic ,general pathological conditions
33,1,microcystic adnexal carcinoma following radiotherapy in childhood a 36yearold man was treated by radiotherapy for tinea capitis many years before discovery of microcystic adnexal carcinoma mac because of patients refusal of any surgical intervention we were able to follow the natural course of this tumor for 13 years this case emphasizes the typical slow development of mac the implication of the association of mac and radiotherapy are discussed ,neoplasms
34,2,feasibility of digital teleradiology for imaging evaluation of patients with acute right upper quadrant abdominal pain to assess the utility of a commercially available digital teleradiology system in evaluating patients with acute pain in the right upper quadrant hardcopy images from 100 examinations 50 hepatobiliary scintigrams and 50 sonograms of the right upper quadrant were digitized transmitted via standard telephone lines and viewed remotely on a video monitor video and hardcopy interpretations were then compared for degree of concordance for the scintigraphic studies hardcopy and video images were equal in demonstrating gallbladder and bile duct activity video images failed to depict the presence of bowel activity in one case gallstones were depicted equally well on hardcopy and video sonographic images the video interpreters overestimated the presence of abnormal hepatic parenchyma and overlooked one case of right hydronephrosis the video interpretations of the scintigrams and sonograms showed an overall error rate of 4 comparable to the rate obtained when radiographs are interpreted remotely with digital teleradiology systems ,digestive system diseases
35,5,longterm followup comparing subclavian flap angioplasty to resection with modified oblique endtoend anastomosis the definitive surgical procedure for correction of aortic coarctation remains controversial therefore we retrospectively reviewed a total of 56 children under 4 years of age with coarctation repair between 1977 and 1986 thirtyfour had the subclavian flap angioplasty technique and 22 had resection with oblique endtoend anastomosis the group was further subdivided to include only the 23 infants less than 3 months of ageeight infants with resection with oblique endtoend anastomosis less than or equal to 3ete and 15 infants with subclavian flap angioplasty greater than or equal to 3sfa the remaining 33 patients older than 3 months of age were divided into 14 patients with resection and oblique endtoend anastomosis greater than 3ete and 19 patients with the subclavian flap angioplasty technique greater than 3sfa the overall mortality was not significantly different between techniques postoperative hypertension was significantly more prevalent with endtoend anastomosis than with the subclavian flap angioplasty technique p less than 001 seven patients had recurrent coarctation the 6year actuarial freedom from recoarctation was 93  6 in the less than or equal to 3sfa group compared with 53  20 in the less than or equal to 3ete group p less than 002 but there was no significant difference in those children operated on at a later age regarding the type of coarctation repair therefore we recommend subclavian flap angioplasty in patients less than 3 months of age in those older than 3 months either procedure is safe and the risk of recoarctation is similar ,general pathological conditions
36,4,catheterization of coronary artery bypass graft from the descending aorta the increasing frequency of reoperation for coronary artery disease has led to the use of a variety of grafts this report describes the catheter technique for selective opacification of a saphenous vein graft from the descending thoracic aorta to the posterior coronary circulation ,cardiovascular diseases
